Cluster ID,1
Center of Mass,"(-12, 9, -1)"
Abler et al-From uncertainty to reward - B.. Table 1-1: fMRI Results: ANOVA 1 - modeling effects over the whole trial - increasing reward magnitude,1
Abler et al-From uncertainty to reward - B.. Table 1-2: fMRI Results: ANOVA 1 - modeling effects over the whole trial - high > low reward value level,1
Abler et al-From uncertainty to reward - B.. Table 2-1: fMRI results: ANOVA 2 - modeling effects over expectation phase - increasing reward magnitude,1
Croxson et al-Effort-Based Cost Benefit Valu.. Table 3 - Regions activated by the reward contrast (increased signal to anticipation of higher reward),1
Jarcho et al-Developmental effects of decis.. Table 2-2 Anticipation for Adolescents during Choice trials compared with Baseline,1
Jarcho et al-Developmental effects of decis.. Table 4-2 Anticipation for Adults during Choice trials compared with Baseline,0
Knutson et al-Anticipation of Increasing Mon.. Table 1-3 Regressor of interest Z scores and Talairach coordinates of peak activation foci right/anterior/superior (RAS),2
Knutson et al-Distributed Neural Representat.. Table 1-2 Regressor of interest Z scores and Talairach coordinates for peak activation foci,0
Knutson et al-Distributed Neural Representat.. Table 1-4 Regressor of interest Z scores and Talairach coordinates for peak activation foci,0
Smith et al-Neural substrates of reward ma.. Table 2 - Regions showing greater BOLD for high-magnitude rather than low-magnitude selections,0
Spreckelmeyer et al-Anticipation of monetary and s.. Table 1-1 Brain regions showing proportional activation to increasing anticipated reward,7
Tobler et al-Reward Value Coding Distinct F.. Table 2-1 - Areas more strongly activated by stimuli associated with larger reward magnitude,1
Tobler et al-Reward Value Coding Distinct F.. Table 2-2 - Areas more strongly activated by stimuli associated with larger probability,0
